series,release_date,title,rating
Battle Royale Collection,2000-12-16,Battle Royale,7.3
The Jack Ryan Collection,2014-01-15,Jack Ryan: Shadow Recruit,5.9
Cocaine Cowboys,2006-04-26,Cocaine Cowboys,7.5
Divergent Collection,2014-03-14,Divergent,6.9
Tremors Collection,2001-10-02,Tremors 3: Back to Perfection,5.4
Night at the Museum Collection,2014-12-17,Night at the Museum: Secret of the Tomb,6.1
Would I Lie to You? Collection,2001-02-07,Would I Lie to You? 2,6.4
Trapped in the Closet,2007-08-21,Trapped in the Closet: Chapters 13-22,6.1
Cowgirls n' Angels Collection,2012-05-25,Cowgirls n' Angels,5.3
The Krays Collection,2015-08-29,The Rise of the Krays,4.5
Prudence et Bélisaire Beresford Collection,2012-08-20,Partners in Crime,5.5
Johan Falk GSI Collection,2009-10-07,Johan Falk: Leo Gaut,6.4
Hera Pheri Collection,2006-06-09,Phir Hera Pheri,5.6
Sällskapsresorna,2011-12-25,The Stig-Helmer Story,4.8
The Hills Have Eyes (Reboot) Collection,2006-03-10,The Hills Have Eyes,6.1
The Dick Proenneke Collection,2011-12-02,Alone in the Wilderness Part II,7.6
Disney Buddies Collection,2006-12-12,Air Buddies,5.5
Aki Kaurismäki's Finland trilogy,2002-03-01,The Man Without a Past,7.0
Qatsi Collection,2002-09-02,Naqoyqatsi,6.1
Loose Change Collection,2009-09-22,Loose Change 9/11: An American Coup,6.5
Ouija Collection,2014-10-24,Ouija,4.9
Before... Collection,2004-02-10,Before Sunset,7.6
The Lion King Collection,2015-11-22,The Lion Guard: Return of the Roar,6.0
Shrek Collection,2010-05-16,Shrek Forever After,6.0
Star Wars Collection,2015-12-15,Star Wars: The Force Awakens,7.5
The Prince & Me Collection,2006-02-21,The Prince & Me 2: The Royal Wedding,4.6
The Hire,2016-10-23,The Escape,7.2
Hitman Collection,2007-11-21,Hitman,5.9
Fimfárum (kolekce),2006-02-23,Fimfarum 2,7.5
Loose Change Collection,2006-06-01,Loose Change: 2nd Edition,6.3
Pitch Perfect Collection,2012-09-28,Pitch Perfect,7.3
"Signed, Sealed, Delivered",2016-02-21,"Signed, Sealed, Delivered: From the Heart",5.5
Inspector Gadget Collection,2003-03-11,Inspector Gadget 2,3.9
Saw Collection,2006-10-27,Saw III,6.1
Trailer Park Boys Collection,2014-04-18,Trailer Park Boys: Don't Legalize It,6.6
Open Season Collection,2008-09-24,Open Season 2,5.6
Nuke 'Em High Collection,2017-01-15,"Return to Return to Nuke 'Em High, aka Volume 2",0.0
The Scorpion King Collection,2008-07-19,The Scorpion King: Rise of a Warrior,4.3
Jackass Collection,2007-12-18,Jackass 2.5,5.8
Six Degrees of Celebration Collection,2011-12-15,Six Degrees of Celebration 2,6.8
The President's Man Collection,2002-01-01,The President's Man: A Line in the Sand,3.9
The Purge Collection,2014-07-17,The Purge: Anarchy,6.6
Naruto Collection,2014-12-06,The Last: Naruto the Movie,7.3
Monster High Collection,2015-10-19,"Monster High: Boo York, Boo York",7.3
The Cheetah Girls Collection,2008-08-22,The Cheetah Girls: One World,4.9
Hailey Dean Mystery Collection,2016-10-23,"Hailey Dean Mystery: Murder, With Love",6.0
Shadow Boxing Collection,2007-10-18,Boj S Tenyu 2: Revansh,5.6
Half Past Dead Collection,2002-11-15,Half Past Dead,4.6
Nim's Island Collection,2013-03-15,Return to Nim's Island,4.8
Omega Code Series,2001-09-07,Megiddo: The Omega Code 2,3.6
Tetsuo Collection,2009-09-05,Tetsuo: The Bullet Man,5.5
What the Bleep! Collection,2006-02-03,What the Bleep! Down the Rabbit Hole,4.9
Kung Fu Mahjong Collection,2005-10-10,Kung Fu Mahjong,5.5
Asterix and Obelix Collection,2008-01-13,Asterix at the Olympic Games,5.0
Behind Enemy Lines Collection,2009-01-06,Behind Enemy Lines III: Colombia,5.0
Appleseed Collection,2014-05-28,Appleseed Alpha,6.4
Heavy Metal Collection,2000-04-19,Heavy Metal 2000,5.2
Ada Apa Dengan Cinta? Collection,2002-02-08,What's Up with Love?,7.6
Starship Troopers Collection,2008-07-19,Starship Troopers 3: Marauder,4.2
Rush Hour Collection,2007-08-08,Rush Hour 3,6.1
Ghost in the Shell Collection,2008-07-12,Ghost in the Shell 2.0,7.4
Trailer Park Boys Collection,2006-10-06,Trailer Park Boys: The Movie,6.8
Frozen Collection,2015-03-09,Frozen Fever,6.9
